MatchKey,DisplayForms,Definitions,Books,OccurrenceCount,StageAClass,SeedMatchKeys,SeedDisplayForms,SeedDefinitions,NeedsSenseReview
big,big,adj. 大的;重要的;量大的 adv. 大量地;顺利;夸大地,2年级上|3年级上,2,exact-surface-overlap,big,big,adj. 大的;重要的;量大的 adv. 大量地;顺利;夸大地,yes
bird,bird,n. 鸟;家伙;羽毛球 vt. 向...喝倒彩;起哄 vi. 猎鸟;观察研究野鸟,1年级上|3年级上|6年级上,3,exact-surface-overlap,bird,bird,n. 鸟;家伙;羽毛球 vt. 向...喝倒彩;起哄 vi. 猎鸟;观察研究野鸟,yes
birthday,birthday,"n. 生日,诞辰;诞生的日子",3年级上|5年级下,2,exact-surface-overlap,birthday,birthday,"n. 生日,诞辰;诞生的日子",yes
black,black,n. 黑色;黑人;黑颜料 adj. 黑色的;黑人的;邪恶的 vt. 使变黑;把鞋油等涂在...上;把(眼眶)打成青肿 vi. 变黑,1年级上,1,exact-surface-overlap,black,black,n. 黑色;黑人;黑颜料 adj. 黑色的;黑人的;邪恶的 vt. 使变黑;把鞋油等涂在...上;把(眼眶)打成青肿 vi. 变黑,yes
blackboard,blackboard,n. 黑板,1年级下|3年级下,2,exact-surface-overlap,blackboard,blackboard,n. 黑板,yes
blue,blue,"adj. 蓝色的;沮丧的,忧郁的;下流的 n. 蓝色;[复数](美国海、陆、空三军穿的)蓝色制服;蓝颜料;[the blue(s)][用作单数或复数]布鲁斯(歌曲)(一种伤感的美国黑人民歌 vi. 变成蓝色,呈蓝色 vt. 把...染成蓝色;使成蓝色;给...用上蓝剂;用上蓝剂于",1年级上,1,exact-surface-overlap,blue,blue,"adj. 蓝色的;沮丧的,忧郁的;下流的 n. 蓝色;[复数](美国海、陆、空三军穿的)蓝色制服;蓝颜料;[the blue(s)][用作单数或复数]布鲁斯(歌曲)(一种伤感的美国黑人民歌 vi. 变成蓝色,呈蓝色 vt. 把...染成蓝色;使成蓝色;给...用上蓝剂;用上蓝剂于",yes
boat,boat,n. 小船;轮船 vi. 划船,2年级上,1,exact-surface-overlap,boat,boat,n. 小船;轮船 vi. 划船,yes
body,body,n. 身体;主体;大量;团体;主要部分 vt. 赋以形体,3年级上,1,exact-surface-overlap,body,body,n. 身体;主体;大量;团体;主要部分 vt. 赋以形体,yes
book,book,n. 书籍;卷;帐簿;名册;工作簿 vt. 预订;登记,1年级上,1,exact-surface-overlap,book,book,n. 书籍;卷;帐簿;名册;工作簿 vt. 预订;登记,yes
box,box,"n. 箱,盒子;包厢;一拳 vt. 拳击;装...入盒中;打耳光 vi. 拳击",1年级下|3年级下,2,exact-surface-overlap,box,box,"n. 箱,盒子;包厢;一拳 vt. 拳击;装...入盒中;打耳光 vi. 拳击",yes
